Searching for double matches between wifi.json and lan.json
[126] {'id0': 22312, 'id1': 51002, 'dist': 34.718039439231234}
[127] {'id0': 50288, 'id1': 60601, 'dist': 35.846100308046395}
[128] {'id0': 24080, 'id1': 10664, 'dist': 36.077898556238026}
[129] {'id0': 54866, 'id1': 22009, 'dist': 37.1844889417384}
[130] {'id0': 50412, 'id1': 1002970, 'dist': 39.330197900305755}
[131] {'id0': 28126, 'id1': 1000932, 'dist': 43.376660088243725}
[132] {'id0': 16377, 'id1': 1000932, 'dist': 43.442102192561514}
[133] {'id0': 20551, 'id1': 29714, 'dist': 47.58718763426295}
[134] {'id0': 53718, 'id1': 54398, 'dist': 49.8476178144253}
[135] {'id0': 4069, 'id1': 1002580, 'dist': 49.92154240525396}
[136] {'id0': 16896, 'id1': 28225, 'dist': 51.581160424545345}
[137] {'id0': 61229, 'id1': 55859, 'dist': 51.85704295398148}
[138] {'id0': 53842, 'id1': 61249, 'dist': 52.39081977662627}
[139] {'id0': 35229, 'id1': 3732, 'dist': 54.15545321105297}
[140] {'id0': 1001633, 'id1': 3732, 'dist': 54.4890176066887}
[141] {'id0': 26057, 'id1': 3732, 'dist': 57.61336231302216}
[142] {'id0': 1004866, 'id1': 61249, 'dist': 63.21883797077616}
[143] {'id0': 1002927, 'id1': 11513, 'dist': 67.73801744657143}
[144] {'id0': 1005000, 'id1': 54539, 'dist': 70.39508395289035}
[145] {'id0': 1001738, 'id1': 35695, 'dist': 76.4569384855346}
[146] {'id0': 3028, 'id1': 1000265, 'dist': 85.09290382604479}
[147] {'id0': 25225, 'id1': 31873, 'dist': 90.60221603948779}
[148] {'id0': 18565, 'id1': 55661, 'dist': 108.7577584865752}
[149] {'id0': 61816, 'id1': 86, 'dist': 140.35823451703527}
[150] {'id0': 27296, 'id1': 53723, 'dist': 158.4389047743558}
[151] {'id0': 27411, 'id1': 55428, 'dist': 164.2623607373209}
[152] {'id0': 1004198, 'id1': 34707, 'dist': 245.81579623412208}
[153] {'id0': 33824, 'id1': 1000799, 'dist': 279.1433955080453}
[154] {'id0': 32473, 'id1': 55785, 'dist': 322.1257508852746}
[155] {'id0': 4893, 'id1': 33013, 'dist': 510.6546541127197}
[156] {'id0': 54789, 'id1': 53937, 'dist': 518.7113702456764}
[157] {'id0': 51485, 'id1': 1000245, 'dist': 565.9333651069865}
# ids from cellular.json = 158
# ids from lan.json = 137
# unique lan_ids = 208
# satellites = 54
